frame_id,kp_name,kp_index,x_2d,y_2d
20,left_elbow,7,NaN,NaN
20,right_elbow,8,NaN,NaN
20,left_wrist,9,NaN,NaN
20,right_wrist,10,NaN,NaN
20,left_hip,11,NaN,NaN
20,right_hip,12,NaN,NaN
20,left_knee,13,NaN,NaN
20,right_knee,14,NaN,NaN
20,left_ankle,15,NaN,NaN
20,right_ankle,16,NaN,NaN
21,nose,0,1061.0303,722.1793
21,left_eye,1,1197.0056,590.0122
21,right_eye,2,988.1645,591.52136
21,left_ear,3,NaN,NaN
21,right_ear,4,NaN,NaN
21,left_shoulder,5,NaN,NaN
21,right_shoulder,6,NaN,NaN
21,left_elbow,7,NaN,NaN
21,right_elbow,8,NaN,NaN
21,left_wrist,9,NaN,NaN
21,right_wrist,10,NaN,NaN
21,left_hip,11,NaN,NaN
21,right_hip,12,NaN,NaN
21,left_knee,13,NaN,NaN
21,right_knee,14,NaN,NaN
21,left_ankle,15,NaN,NaN
21,right_ankle,16,NaN,NaN
22,nose,0,1054.0709,717.61066
22,left_eye,1,1189.2249,583.973
22,right_eye,2,981.447,588.10535
22,left_ear,3,NaN,NaN
22,right_ear,4,NaN,NaN
22,left_shoulder,5,NaN,NaN
22,right_shoulder,6,NaN,NaN
22,left_elbow,7,NaN,NaN
22,right_elbow,8,NaN,NaN
22,left_wrist,9,NaN,NaN
22,right_wrist,10,NaN,NaN
22,left_hip,11,NaN,NaN
22,right_hip,12,NaN,NaN
22,left_knee,13,NaN,NaN
22,right_knee,14,NaN,NaN
22,left_ankle,15,NaN,NaN
22,right_ankle,16,NaN,NaN
23,nose,0,1048.8306,713.8019
23,left_eye,1,1183.589,580.78845
23,right_eye,2,976.13727,585.48895
23,left_ear,3,NaN,NaN
23,right_ear,4,NaN,NaN
23,left_shoulder,5,NaN,NaN
23,right_shoulder,6,NaN,NaN
23,left_elbow,7,NaN,NaN
23,right_elbow,8,NaN,NaN
23,left_wrist,9,NaN,NaN
23,right_wrist,10,NaN,NaN
23,left_hip,11,NaN,NaN
23,right_hip,12,NaN,NaN
23,left_knee,13,NaN,NaN
23,right_knee,14,NaN,NaN
23,left_ankle,15,NaN,NaN
23,right_ankle,16,NaN,NaN
24,nose,0,1042.0105,706.7865
24,left_eye,1,1178.4954,579.86426
24,right_eye,2,974.4845,581.1787
24,left_ear,3,NaN,NaN
24,right_ear,4,NaN,NaN
24,left_shoulder,5,NaN,NaN
24,right_shoulder,6,NaN,NaN
24,left_elbow,7,NaN,NaN
24,right_elbow,8,NaN,NaN
24,left_wrist,9,NaN,NaN
24,right_wrist,10,NaN,NaN
24,left_hip,11,NaN,NaN
24,right_hip,12,NaN,NaN
24,left_knee,13,NaN,NaN
24,right_knee,14,NaN,NaN
24,left_ankle,15,NaN,NaN
24,right_ankle,16,NaN,NaN
25,nose,0,1034.9492,700.1725
25,left_eye,1,1174.3496,574.27716
25,right_eye,2,972.1233,576.8739
25,left_ear,3,NaN,NaN
25,right_ear,4,NaN,NaN
25,left_shoulder,5,NaN,NaN
25,right_shoulder,6,NaN,NaN
25,left_elbow,7,NaN,NaN
25,right_elbow,8,NaN,NaN
25,left_wrist,9,NaN,NaN
25,right_wrist,10,NaN,NaN
25,left_hip,11,NaN,NaN
25,right_hip,12,NaN,NaN
25,left_knee,13,NaN,NaN
25,right_knee,14,NaN,NaN
25,left_ankle,15,NaN,NaN
25,right_ankle,16,NaN,NaN
26,nose,0,1028.4719,684.7402
26,left_eye,1,1163.6525,561.25916
26,right_eye,2,964.26715,568.77454
26,left_ear,3,NaN,NaN
26,right_ear,4,NaN,NaN
26,left_shoulder,5,NaN,NaN
26,right_shoulder,6,NaN,NaN
26,left_elbow,7,NaN,NaN
26,right_elbow,8,NaN,NaN
26,left_wrist,9,NaN,NaN
26,right_wrist,10,NaN,NaN
26,left_hip,11,NaN,NaN
26,right_hip,12,NaN,NaN
26,left_knee,13,NaN,NaN
26,right_knee,14,NaN,NaN
26,left_ankle,15,NaN,NaN
26,right_ankle,16,NaN,NaN
27,nose,0,1024.916,677.52014
27,left_eye,1,1157.954,553.77954
27,right_eye,2,960.08673,562.3993
27,left_ear,3,NaN,NaN
27,right_ear,4,NaN,NaN
27,left_shoulder,5,NaN,NaN
27,right_shoulder,6,NaN,NaN
27,left_elbow,7,NaN,NaN
27,right_elbow,8,NaN,NaN
27,left_wrist,9,NaN,NaN
27,right_wrist,10,NaN,NaN
27,left_hip,11,NaN,NaN
27,right_hip,12,NaN,NaN
27,left_knee,13,NaN,NaN
27,right_knee,14,NaN,NaN
27,left_ankle,15,NaN,NaN
27,right_ankle,16,NaN,NaN
28,nose,0,1017.40735,670.1199
28,left_eye,1,1152.6473,548.4402
28,right_eye,2,955.3482,557.26294
28,left_ear,3,NaN,NaN
28,right_ear,4,NaN,NaN
28,left_shoulder,5,NaN,NaN
28,right_shoulder,6,NaN,NaN
28,left_elbow,7,NaN,NaN
28,right_elbow,8,NaN,NaN
28,left_wrist,9,NaN,NaN
28,right_wrist,10,NaN,NaN
28,left_hip,11,NaN,NaN
28,right_hip,12,NaN,NaN
28,left_knee,13,NaN,NaN
28,right_knee,14,NaN,NaN
28,left_ankle,15,NaN,NaN
28,right_ankle,16,NaN,NaN
29,nose,0,1012.83276,663.3909
29,left_eye,1,1147.6162,540.58765
29,right_eye,2,949.4706,550.15594
29,left_ear,3,1280.0,591.85034
29,right_ear,4,NaN,NaN
29,left_shoulder,5,NaN,NaN
29,right_shoulder,6,839.298,945.36206
29,left_elbow,7,NaN,NaN
29,right_elbow,8,NaN,NaN
29,left_wrist,9,NaN,NaN
29,right_wrist,10,NaN,NaN
